id,name
1,Bocas del Toro
2,Coclé
3,Colón
4,Chiriquí
5,Darién
6,Herrera
7,Los Santos
8,Panamá
9,Veraguas
10,Comarca Kuna Yala
11,Comarca Emberá-Wounaan
12,Comarca Ngäbe-Buglé
13,Panamá Oeste
